Company Name,Ticker,Market Cap (mil),Exchange,Month of Fiscal Yr End,Sector,Industry,Last Close,Last Yr`s EPS (F0) Before NRI,F1 Consensus Est.,F2 Consensus Est.
Turkcell Iletisim Hizmetleri,TKC,5148,NYSE,12,Computer and Technology,Wireless Non-US ,5.85,0.39,0.78,1.18
"Tokyo Lifestyle Co., Ltd.",TKLF,15.03,NSDQ,3,Consumer Staples,Consumer Products - Staples,3.56,2,,
TRUTANKLESS,TKLS,6.79,OTC,12,Computer and Technology,Electronics - Miscellaneous Products,0.0525,-0.07,,
Alpha Teknova,TKNO,294.46,NSDQ,12,Medical,Medical - Biomedical and Genetics,5.51,-0.57,,
"TKO Group Holdings, Inc.",TKO,34821.57,NYSE,12,Consumer Discretionary,Film and Television Production and Distribution,175.95,0.02,2.84,5.38
Telkonet,TKOI,1.62,OTC,12,Computer and Technology,Computer - Peripheral Equipment,0.0056,0,,
Tokio Marine,TKOMY,78965.22,OTC,3,Finance,Insurance - Property and Casualty,40.83,3.59,4.03,4.17
The Timken Company,TKR,4939.39,NYSE,12,Computer and Technology,Electronics - Miscellaneous Products,70.6,5.79,5.29,6.1
Tokuyama Corporation,TKYMY,1095.4,OTC,3,Basic Materials,Chemical - Diversified ,7.6,0.99,,
Tandy Leather Factory,TLF,25.62,NSDQ,12,Retail-Wholesale,Retail - Apparel and Shoes,3.01,0.09,,
TLGY Acquisition,TLGYF,123.55,OTC,12,Unclassified,Unclassified,13.05,,,
Talis Biomedical,TLIS,3.19,OTC,12,Medical,Medical - Biomedical and Genetics,1.75,-34.12,,
PT Telekomunikasi Indonesia,TLK,16483.95,NYSE,12,Utilities,Diversified Communication Services,16.64,1.5,1.48,1.54
Talen Energy Corporation,TLN,13215.13,NSDQ,12,Oils-Energy,Alternative Energy - Other,290.38,8.74,6.04,14.82
"Talphera, Inc.",TLPH,9.99,NSDQ,12,Medical,Medical - Drugs,0.487,-0.5,,
Tilray Brands,TLRY,385.79,NSDQ,5,Medical,Medical - Products,0.3833,-0.33,-0.17,
Telos,TLS,193.26,NSDQ,12,Computer and Technology,Computers - IT Services,2.63,-0.31,-0.15,-0.01
Tiziana Life Sciences,TLSA,186.96,NSDQ,12,Medical,Medical - Biomedical and Genetics,1.6,-0.11,,
"TriSalus Life Sciences, Inc.",TLSI,203.57,NSDQ,12,Medical,Medical - Products,5.38,-1.31,-0.86,-0.33
,TLT,48948.59,NSDQ,12,Finance,Financial - Investment Funds,86.65,,,
Tele2,TLTZY,9977.15,OTC,12,Utilities,Wireline Non-US,7.29,0.26,0.34,0.4
