Company Name,Ticker,Market Cap (mil),Exchange,Month of Fiscal Yr End,Sector,Industry,Last Close,Last Yr`s EPS (F0) Before NRI,F1 Consensus Est.,F2 Consensus Est.
"BNP Paribas","BNPQY","101609.6","OTC","12","Finance","Banks - Foreign","44.96","5.58","5.67","6.39"
"Burning Rock Biotech","BNR","89.21","NSDQ","12","Business Services","Technology Services","8.29","-4.61","",""
"Brenmiller Energy Ltd.","BNRG","7","NSDQ","12","Oils-Energy","Alternative Energy - Other","2.185","-6.45","",""
"Bank of Nova Scotia","BNS","77517.1","NYSE","10","Finance","Banks - Foreign","62.39","4.75","4.97","5.64"
"Bonso Electronics International","BNSOF","11.17","OTC","3","Computer and Technology","Electronics - Miscellaneous Products","2.3","-.29","",""
"Brookfield Wealth Solutions Ltd.","BNT","15835.01","NYSE","12","Finance","Financial - Miscellaneous Services","65.86",".32","",""
"Benitec Biopharma","BNTC","342.04","NSDQ","6","Medical","Medical - Biomedical and Genetics","13.03","-6","-1.4","-1.73"
"Brennt","BNTGY","9022.64","OTC","12","Basic Materials","Chemical - Diversified ","12.498",".8",".79",".88"
"BioNTech","BNTX","24503.84","NSDQ","12","Medical","Medical - Biomedical and Genetics","101.93","-3","-3.52","-3.21"
"BioNxt Solutions Inc.","BNXTF","86.82","OTC","12","Medical","Medical - Drugs",".75","-.03","",""
"Banzai International, Inc.","BNZI","11.41","NSDQ","12","Business Services","Advertising and Marketing","3.3","-14.5","-3.03","-.51"
"Boston Omaha","BOC","422.73","NYSE","12","Finance","Real Estate - Operations","13.44","-.04","",""
"The Beachbody Company","BODI","39.29","NYSE","12","Consumer Discretionary","Consumer Services - Miscellaneous","5.56","-10.51","-2.52","-3.21"
"BranchOut Food Inc.","BOF","25.22","NSDQ","12","Consumer Staples","Food - Miscellaneous","2.14","-.83","",""
"Bank of Hawaii","BOH","2724.87","NYSE","12","Finance","Banks - West","68.52","3.53","4.36","5.14"
